"id","title","lenght","MPAA rating","Release date","Budget","Revenue","IMDB ID","TMDB ID","Actor1","Actor2","Actor3","Actor4","Actor1rank","Actor2rank","Actor3rank","Actor4rank","Director","DirectorRank","Writer1","Writer2","Writer1Rank","Writer2Rank","Studio","StudioRank","Language","Genre","Country"
"3986","6th Day, The (2000)","123","PG-13","2000-11-17 00:00:00 UTC","82000000","34543701","216216","8452","Arnold Schwarzenegger","Michael Rapaport","Tony Goldwyn","Michael Rooker","22","2","2","3","Roger Spottiswoode","1","Cormac Wibberley","4","Marianne Wibberley","4","Columbia Pictures","108","English","Action","United States of America"
"3991","102 Dalmatians (2000)","100","G","2000-11-21 00:00:00 UTC","85000000","183611771","211181","10481","Glenn Close","Gérard Depardieu","Ioan Gruffudd","Alice Evans","5","1","4","1","Kevin Lima","1","Dodie Smith","2","Kristen Buckley","1","Walt Disney Pictures","84","English","Children","United States of America"
"3993","Quills (2000)","124","R","2000-09-02 00:00:00 UTC","13500000","7060876","180073","10876","Geoffrey Rush","Kate Winslet","Joaquin Phoenix","Michael Caine","7","7","6","14","Philip Kaufman","2","Doug Wright","2","Doug Wright","2","Fox Searchlight Pictures","20","English","Romance","United States of America"
"3996","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","120","PG-13","2000-10-01 00:00:00 UTC","15000000","209000000","190332","146","Yun-Fat Chow","Michelle Yeoh","Ziyi Zhang","Chen Chang","1","2","3","1","Ang Lee","5","Du Lu Wang","1","Hui-Ling Wang","1","Sony Pictures Classics","4","中国","Romance","United States of America"
"3997","Dungeons & Dragons (2000)","107","PG-13","2000-12-08 00:00:00 UTC","35000000","15185241","190374","11849","Jeremy Irons","Bruce Payne","Justin Whalin","Marlon Wayans","8","2","2","4","Courtney Solomon","1","Topper Lilien","1","Carroll Cartwright","1","Silver Pictures","26","English","Adventure","United States of America"
"3999","Vertical Limit (2000)","124","PG-13","2000-12-08 00:00:00 UTC","75000000","68473360","190865","11678","Chris O'Donnell","Robin Tunney","Stuart Wilson","Augie Davis","5","2","1","1","Martin Campbell","7","Robert King","2","Robert King","2","Columbia Pictures Corporation","42","English","Adventure","United States of America"
"4005","Living Daylights, The (1987)","130","PG","1987-06-29 00:00:00 UTC","40000000","191185897","93428","708","Timothy Dalton","Maryam d'Abo","Jeroen Krabbé","Joe Don Baker","4","1","2","1","John Glen","6","Richard Maibaum","8","Michael G. Wilson","4","Metro-Goldwyn-Mayer","27","English","Adventure","United States of America"
"4008","Born on the Fourth of July (1989)","145","R","1989-12-20 00:00:00 UTC","14000000","161001698","96969","2604","Tom Cruise","Raymond J. Barry","Caroline Kava","Josh Evans","20","3","1","1","Oliver Stone","9","Ron Kovic","1","Oliver Stone","4","Universal Pictures","205","English","Drama","United States of America"
"4010","Brewster's Millions (1985)","97","PG","1985-05-22 00:00:00 UTC","20000000","40800000","88850","11064","Richard Pryor","John Candy","Lonette McKee","Stephen Collins","3","7","2","2","Walter Hill","8","George Barr McCutcheon","1","Herschel Weingrod","3","Universal Pictures","205","English","Comedy","United States of America"
"4014","Chocolat (2000)","121","PG-13","2000-12-14 00:00:00 UTC","25000000","152500343","241303","392","Alfred Molina","Carrie-Anne Moss","Aurelien Parent Koenig","Antonio Gil","8","8","1","1","Lasse Hallström","6","Joanne Harris","1","Robert Nelson Jacobs","3","Miramax Films","51","English","Romance","United States of America"
"4016","Emperor's New Groove, The (2000)","78","G","2000-12-09 00:00:00 UTC","100000000","169327687","120917","11688","David Spade","John Goodman","Eartha Kitt","Patrick Warburton","4","12","1","4","Mark Dindal","2","Chris Williams","2","Mark Dindal","2","Walt Disney Pictures","84","English","Adventure","United States of America"
"4018","What Women Want (2000)","127","PG-13","2000-12-14 00:00:00 UTC","70000000","374111707","207201","3981","Mel Gibson","Helen Hunt","Marisa Tomei","Alan Alda","13","4","3","1","Nancy Meyers","1","Josh Goldsmith","2","Cathy Yuspa","2","Paramount Pictures","173","English","Comedy","United States of America"
"4020","Gift, The (2000)","111","R","2000-12-22 00:00:00 UTC","10000000","12008642","219699","2046","Cate Blanchett","Giovanni Ribisi","Keanu Reeves","Katie Holmes","11","7","13","2","Sam Raimi","8","Billy Bob Thornton","3","Tom Epperson","1","Alphaville Films","5","English","Thriller","United States of America"
"4023","Family Man, The (2000)","125","PG-13","2000-12-12 00:00:00 UTC","60000000","75764085","218967","5994","Nicolas Cage","Téa Leoni","Don Cheadle","Jeremy Piven","24","5","8","2","Brett Ratner","10","David Diamond","3","David Weissman","2","Universal Pictures","205","English","Comedy","United States of America"
"4025","Miss Congeniality (2000)","109","PG-13","2000-12-14 00:00:00 UTC","45000000","212000000","212346","1493","Sandra Bullock","Michael Caine","Benjamin Bratt","Candice Bergen","12","14","6","2","Donald Petrie","3","Marc Lawrence","1","Katie Ford","1","Warner Bros. Pictures","104","English","Comedy","United States of America"
"4027","O Brother, Where Art Thou? (2000)","106","PG-13","2000-12-21 00:00:00 UTC","26000000","71000000","190590","134","George Clooney","John Turturro","Tim Blake Nelson","John Goodman","20","7","1","12","Joel Coen","10","Homer","2","Ethan Coen","9","Touchstone Pictures","72","English","Adventure","United States of America"
"4030","Dracula 2000 (2000)","99","R","2000-12-22 00:00:00 UTC","28000000","33000337","219653","10577","Gerard Butler","Christopher Plummer","Jonny Lee Miller","Justine Waddell","14","11","3","1","Patrick Lussier","2","Joel Soisson","1","Patrick Lussier","2","Dimension Films","17","English","Horror","United States of America"
"4033","Thirteen Days (2000)","145","PG-13","2000-12-24 00:00:00 UTC","80000000","34566746","146309","11973","Shawn Driscoll","Kevin Costner","Drake Cook","Lucinda Jenney","1","14","1","1","Roger Donaldson","3","David Self","2","Ernest R. May","1","New Line Cinema","93","English","Drama","United States of America"
"4034","Traffic (2000)","148","R","2000-12-27 00:00:00 UTC","48000000","207515725","181865","1900","Benicio Del Toro","Jacob Vargas","Andrew Chavez","Michael Saucedo","4","1","1","1","Steven Soderbergh","7","Simon Moore","1","Stephen Gaghan","4","Bedford Falls Productions","4","English","Drama","United States of America"
"4039","Annie (1982)","127","PG","1982-06-18 00:00:00 UTC","50000000","57059003","83564","15739","Albert Finney","Carol Burnett","Ann Reinking","Tim Curry","2","3","1","6","John Huston","2","Carol Sobieski","1","Thomas Meehan","3","Columbia Pictures","108","English","Children","United States of America"
"4040","Don't Tell Mom the Babysitter's Dead (1991)","102","PG-13","1991-06-07 00:00:00 UTC","10000000","25196249","101757","15413","Christina Applegate","Joanna Cassidy","John Getz","Josh Charles","5","2","2","1","Stephen Herek","5","Neil Landau","1","Tara Ison","1","Home Box Office (HBO)","3","English","Comedy","United States of America"
"4043","At Close Range (1986)","111","R","1986-04-18 00:00:00 UTC","6500000","2347000","90670","13715","Sean Penn","Christopher Walken","Mary Stuart Masterson","Chris Penn","12","12","1","2","James Foley","4","Elliott Lewitt","1","Nicholas Kazan","2","Orion Pictures","12","English","Drama","United States of America"
"4054","Save the Last Dance (2001)","112","PG-13","2001-01-12 00:00:00 UTC","13000000","91038276","206275","9816","Julia Stiles","Sean Patrick Thomas","Kerry Washington","Fredro Starr","4","3","3","1","Thomas Carter","2","Duane Adler","3","Duane Adler","3","Paramount Pictures","173","English","Romance","United States of America"
"4056","Pledge, The (2001)","124","R","2001-01-09 00:00:00 UTC","35000000","29400000","237572","5955","Patricia Clarkson","Beau Daniels","Benicio Del Toro","Dale Dickey","4","1","4","1","Sean Penn","2","Friedrich Dürrenmatt","1","Jerzy Kromolowski","1","Morgan Creek Productions","10","English","Drama","United States of America"
"4069","Wedding Planner, The (2001)","103","PG-13","2001-01-26 00:00:00 UTC","35000000","94728529","209475","2018","Jennifer Lopez","Matthew McConaughey","Bridgette Wilson-Sampras","Justin Chambers","9","14","4","1","Adam Shankman","4","Pamela Falk","1","Michael Ellis","1","Columbia Pictures","108","English","Comedy","United States of America"
"4084","Beverly Hills Cop II (1987)","100","R","1987-05-18 00:00:00 UTC","20000000","299965036","92644","96","Eddie Murphy","Judge Reinhold","Jürgen Prochnow","Ronny Cox","19","3","3","4","Tony Scott","11","Danilo Bach","3","Daniel Petrie Jr.","3","Paramount Pictures","173","English","Comedy","United States of America"
"4085","Beverly Hills Cop (1984)","105","R","1984-11-30 00:00:00 UTC","15000000","316360478","86960","90","Eddie Murphy","Judge Reinhold","John Ashton","Lisa Eilbacher","19","3","1","1","Martin Brest","2","Daniel Petrie Jr.","3","Danilo Bach","3","Paramount Pictures","173","English","Comedy","United States of America"
"4124","Jaws: The Revenge (1987)","89","PG-13","1987-07-17 00:00:00 UTC","23000000","51881013","93300","580","Lorraine Gary","Lance Guest","Mario Van Peebles","Karen Young","3","1","3","1","Joseph Sargent","1","Peter Benchley","3","Michael De Guzman","1","Universal Pictures","205","English","Thriller","United States of America"
"4128","Lost Boys, The (1987)","97","R","1987-07-31 00:00:00 UTC","8500000","32000000","93437","1547","Jason Patric","Corey Haim","Dianne Wiest","Barnard Hughes","5","1","4","1","Joel Schumacher","6","Jan Fischer","1","James Jeremias","1","Warner Bros. Pictures","104","English","Comedy","United States of America"
"4148","Hannibal (2001)","131","R","2001-02-08 00:00:00 UTC","87000000","165092266","212985","9740","Anthony Hopkins","Julianne Moore","Gary Oldman","Ray Liotta","17","16","10","3","Ridley Scott","12","Thomas Harris","5","David Mamet","3","Universal Pictures","205","English","Thriller","United States of America"
"4149","Saving Silverman (Evil Woman) (2001)","90","PG-13","2001-02-09 00:00:00 UTC","22000000","19351569","239948","10878","Steve Zahn","Jack Black","Jason Biggs","Amanda Peet","5","12","4","4","Dennis Dugan","8","Hank Nelken","1","Greg DePaul","2","Columbia Pictures Corporation","42","English","Comedy","United States of America"
"4158","Monkeybone (2001)","93","PG-13","2001-02-23 00:00:00 UTC","75000000","5409517","166276","23685","Brendan Fraser","Bridget Fonda","John Turturro","Chris Kattan","10","5","7","4","Henry Selick","4","Kaja Blackley","1","Sam Hamm","2","20th Century Fox","51","English","Animation","United States of America"
"4159","3000 Miles to Graceland (2001)","125","R","2001-02-23 00:00:00 UTC","62000000","18720175","233142","12138","Kurt Russell","Kevin Costner","Courteney Cox","Christian Slater","14","14","3","5","Demian Lichtenstein","1","Richard Recco","1","Demian Lichtenstein","1","Warner Bros.","119","English","Action","United States of America"
"4189","Greatest Story Ever Told, The (1965)","199","G","1965-02-15 00:00:00 UTC","20000000","12000000","59245","2428","Max von Sydow","Michael Anderson Jr.","Carroll Baker","Ina Balin","10","1","1","1","George Stevens","1","Fulton Oursler","1","Henry Denker","1","United Artists","28","English","Drama","United States of America"
"4200","Double Impact (1991)","110","R","1991-08-10 00:00:00 UTC","15000000","30102717","101764","9594","Jean-Claude Van Damme","Geoffrey Lewis","Alonna Shaw","Corinna Everson","6","2","1","1","Sheldon Lettich","3","Sheldon Lettich","4","Jean-Claude Van Damme","2","Stone Group Pictures","1","English","Action","United States of America"
"4222","C.H.U.D. (1984)","88","R","1984-08-31 00:00:00 UTC","1250000","3412497","87015","23730","John Heard","Daniel Stern","Christopher Curry","Kim Greist","4","3","1","1","Douglas Cheek","1","Parnell Hall","1","Shepard Abbott","1","New World Pictures","2","English","Horror","United States of America"
"4223","Enemy at the Gates (2001)","131","R","2001-03-13 00:00:00 UTC","70000000","96976270","215750","853","Jude Law","Ed Harris","Rachel Weisz","Joseph Fiennes","9","11","8","2","Jean-Jacques Annaud","4","Jean-Jacques Annaud","2","Alain Godard","2","Paramount Pictures","173","English","Drama","United States of America"
"4224","Exit Wounds (2001)","101","R","2001-03-13 00:00:00 UTC","50000000","79958599","242445","10877","Steven Seagal","DMX","Isaiah Washington","Anthony Anderson","7","2","2","5","Andrzej Bartkowiak","3","Ed Horowitz","2","Richard D'Ovidio","3","Warner Bros.","119","English","Action","United States of America"
"4226","Memento (2000)","113","R","2000-10-11 00:00:00 UTC","9000000","39723096","209144","77","Guy Pearce","Carrie-Anne Moss","Joe Pantoliano","Mark Boone Junior","11","8","3","1","Christopher Nolan","7","Christopher Nolan","5","Jonathan Nolan","5","Newmarket Capital Group","2","English","Thriller","United States of America"
"4238","Along Came a Spider (2001)","104","R","2001-04-06 00:00:00 UTC","60000000","105178561","164334","2043","Morgan Freeman","Monica Potter","Michael Wincott","Dylan Baker","17","3","3","1","Lee Tamahori","5","James Patterson","2","Marc Moss","2","Paramount Pictures","173","English","Action","United States of America"
"4239","Blow (2001)","124","R","2001-04-05 00:00:00 UTC","53000000","83282296","221027","4133","Johnny Depp","Penélope Cruz","Franka Potente","Rachel Griffiths","25","8","3","2","Ted Demme","3","Bruce Porter","1","David McKenna","2","New Line Cinema","93","English","Drama","United States of America"
"4241","Pokémon 3: The Movie (2001)","93","G","2000-07-08 00:00:00 UTC","16000000","68411275","266860","10991","Rica Matsumoto","Veronica Taylor","Rachael Lillis","Ikue Ohtani","3","2","2","1","Michael Haigney","4","Norman J. Grossfeld","1","Michael Haigney","1","Warner Bros. Pictures","104","English","Animation","Japan"
"4246","Bridget Jones's Diary (2001)","97","R","2001-04-13 00:00:00 UTC","25000000","281929795","243155","634","Renée Zellweger","Gemma Jones","Celia Imrie","James Faulkner","10","2","1","2","Sharon Maguire","1","Helen Fielding","3","Helen Fielding","3","Universal Pictures","205","English","Comedy","United States of America"
"4247","Joe Dirt (2001)","91","PG-13","2001-04-10 00:00:00 UTC","34000000","27088000","245686","10956","David Spade","Brittany Daniel","Dennis Miller","Adam Beach","4","2","2","3","Dennie Gordon","1","David Spade","1","Fred Wolf","4","Columbia Pictures","108","English","Adventure","United States of America"
"4265","Driven (2001)","116","PG-13","2001-04-27 00:00:00 UTC","72000000","54744738","132245","10477","Sylvester Stallone","Burt Reynolds","Kip Pardue","Stacy Edwards","19","7","1","1","Renny Harlin","10","Jan Skrentny","1","Neal Tabachnick","1","Warner Bros. Pictures","104","English","Action","United States of America"
"4306","Shrek (2001)","90","PG","2001-05-16 00:00:00 UTC","60000000","484409218","126029","808","Mike Myers","Eddie Murphy","Cameron Diaz","John Lithgow","8","19","15","7","Andrew Adamson","4","William Steig","4","Ted Elliott","8","DreamWorks SKG","37","English","Adventure","United States of America"
"4308","Moulin Rouge (2001)","127","PG-13","2001-05-16 00:00:00 UTC","52500000","177677823","203009","824","Nicole Kidman","Ewan McGregor","John Leguizamo","Jim Broadbent","15","16","12","5","Baz Luhrmann","2","Baz Luhrmann","1","Craig Pearce","2","Twentieth Century Fox Film Corporation","82","English","Romance","United States of America"
"4321","City Slickers (1991)","112","PG-13","1991-06-07 00:00:00 UTC","26000000","124033791","101587","1406","Billy Crystal","Daniel Stern","Bruno Kirby","Patricia Wettig","4","3","2","1","Ron Underwood","2","Lowell Ganz","3","Babaloo Mandel","2","Columbia Pictures","108","English","Comedy","United States of America"
"4340","Animal, The (2001)","84","PG-13","2001-06-01 00:00:00 UTC","22000000","84772742","255798","11090","Rob Schneider","Colleen Haskell","John C. McGinley","Edward Asner","3","1","2","3","Luke Greenfield","4","Tom Brady","2","Tom Brady","2","Revolution Studios","11","English","Comedy","United States of America"
"4343","Evolution (2001)","101","PG-13","2001-06-07 00:00:00 UTC","80000000","98376292","251075","9397","David Duchovny","Julianne Moore","Orlando Jones","Seann William Scott","3","16","2","7","Ivan Reitman","7","Don Jakoby","2","David Diamond","3","Columbia Pictures","108","English","Comedy","United States of America"
"4351","Point Break (1991)","120","R","1991-07-12 00:00:00 UTC","24000000","105000000","102685","1089","Patrick Swayze","Keanu Reeves","Gary Busey","Lori Petty","4","13","3","4","Kathryn Bigelow","2","Rick King","1","W. Peter Iliff","2","Largo Entertainment","2","English","Action","United States of America"
"4361","Tootsie (1982)","116","PG","1982-12-16 00:00:00 UTC","21000000","177200000","84805","9576","Dustin Hoffman","Jessica Lange","Teri Garr","Dabney Coleman","13","5","1","3","Sydney Pollack","6","Larry Gelbart","2","Murray Schisgal","1","Columbia Pictures Corporation","42","English","Comedy","United States of America"
"4366","Atlantis: The Lost Empire (2001)","95","PG","2001-06-15 00:00:00 UTC","120000000","186053725","230011","10865","Michael J. Fox","Corey Burton","James Garner","Claudia Christian","9","3","4","1","Gary Trousdale","3","Tab Murphy","2","Kirk Wise","1","Walt Disney Feature Animation","12","English","Adventure","United States of America"
"4367","Lara Croft: Tomb Raider (2001)","100","PG-13","2001-06-11 00:00:00 UTC","115000000","274703340","146316","1995","Angelina Jolie","Jon Voight","Iain Glen","Noah Taylor","12","10","1","1","Simon West","5","Sara B. Cooper","1","Mike Werb","2","Paramount Pictures","173","English","Adventure","United States of America"
"4369","Fast and the Furious, The (2001)","106","PG-13","2001-06-22 00:00:00 UTC","38000000","207283925","232500","9799","Paul Walker","Vin Diesel","Michelle Rodriguez","Jordana Brewster","8","13","4","4","Rob Cohen","5","Ken Li","1","Gary Scott Thompson","5","Universal Pictures","205","English","Action","United States of America"
"4370","A.I. Artificial Intelligence (2001)","146","PG-13","2001-06-25 00:00:00 UTC","100000000","235926552","212720","644","Haley Joel Osment","Frances O'Connor","Sam Robards","Jake Thomas","3","3","1","1","Steven Spielberg","21","Brian Aldiss","1","Ian Watson","1","Warner Bros. Pictures","104","English","Adventure","United States of America"
"4372","Crazy/Beautiful (2001)","99","PG-13","2001-06-29 00:00:00 UTC","13000000","16929123","250224","10691","Kirsten Dunst","Jay Hernandez","Bruce Davison","Herman Osorio","11","2","1","1","John Stockwell","2","Phil Hay","4","Matt Manfredi","3","Touchstone Pictures","72","English","Romance","United States of America"
"4386","Cats & Dogs (2001)","87","PG","2001-07-04 00:00:00 UTC","60000000","93375151","239395","10992","Jeff Goldblum","Elizabeth Perkins","Alexander Pollock","Miriam Margolyes","7","3","1","2","Lawrence Guterman","1","John Requa","3","Glenn Ficarra","4","Warner Bros. Pictures","104","English","Children","United States of America"
"4387","Kiss of the Dragon (2001)","98","R","2001-07-06 00:00:00 UTC","25000000","64437847","271027","2140","Jet Li","Bridget Fonda","Tchéky Karyo","Max Ryan","8","5","1","1","Chris Nahon","1","Jet Li","1","Luc Besson","18","20th Century Fox","51","English","Action","United States of America"
"4388","Scary Movie 2 (2001)","83","R","2001-07-04 00:00:00 UTC","45000000","141220678","257106","4248","Antony Acker","Mark Barrett","Richard Bellos","Suzanne Bianqui","1","1","1","1","Keenen Ivory Wayans","3","Shawn Wayans","3","Marlon Wayans","3","Brillstein-Grey Entertainment","3","English","Comedy","United States of America"
"4446","Final Fantasy: The Spirits Within (2001)","106","PG-13","2001-07-02 00:00:00 UTC","137000000","85131830","173840","2114","Ming-Na Wen","Alec Baldwin","Ving Rhames","Steve Buscemi","2","8","7","10","Hironobu Sakaguchi","1","Hironobu Sakaguchi","1","Al Reinert","1","Columbia Pictures","108","English","Adventure","United States of America"
"4447","Legally Blonde (2001)","96","PG-13","2001-07-13 00:00:00 UTC","18000000","141774679","250494","8835","Reese Witherspoon","Luke Wilson","Selma Blair","Matthew Davis","6","6","4","2","Robert Luketic","5","Amanda Brown","1","Karen McCullah","4","Metro-Goldwyn-Mayer (MGM)","34","English","Comedy","United States of America"
"4448","Score, The (2001)","124","R","2001-07-13 00:00:00 UTC","68000000","71069884","227445","11371","Robert De Niro","Edward Norton","Marlon Brando","Angela Bassett","28","9","9","8","Frank Oz","3","Daniel E. Taylor","1","Kario Salem","1","Paramount Pictures","173","English","Drama","United States of America"
"4466","Above the Law (1988)","99","R","1988-04-08 00:00:00 UTC","7500000","18869631","94602","9395","Steven Seagal","Pam Grier","Henry Silva","Ron Dean","7","3","1","1","Andrew Davis","4","Andrew Davis","2","Steven Seagal","1","Warner Bros.","119","English","Drama","United States of America"
"4472","Bad Dreams (1988)","84","R","1988-04-08 00:00:00 UTC","4000000","9797098","94701","59797","Jennifer Rubin","Bruce Abbott","Richard Lynch","Dean Cameron","2","1","1","1","Andrew Fleming","3","Andrew Fleming","2","Michael Dick","1","No Frills Film Production","2","English","Thriller","United States of America"
"4480","Blob, The (1988)","95","R","1988-08-05 00:00:00 UTC","19000000","8247943","94761","9599","Kevin Dillon","Shawnee Smith","Donovan Leitch Jr.","Jeffrey DeMunn","1","4","1","1","Chuck Russell","5","Theodore Simonson","1","Kay Linaker","1","TriStar Pictures","36","English","Horror","United States of America"
"4489","Coming to America (1988)","116","R","1988-06-28 00:00:00 UTC","39000000","288752301","94898","9602","Eddie Murphy","Arsenio Hall","James Earl Jones","John Amos","19","1","4","1","John Landis","6","Eddie Murphy","3","David Sheffield","1","Paramount Pictures","173","English","Comedy","United States of America"
"4492","Critters (1986)","82","PG-13","1986-04-11 00:00:00 UTC","2000000","13167232","90887","3980","Dee Wallace","M. Emmet Walsh","Billy Green Bush","Scott Grimes","1","2","1","2","Stephen Herek","5","Domonic Muir","2","Domonic Muir","2","Smart Egg Pictures","3","English","Comedy","United States of America"
"4493","Critters 2: The Main Course (1988)","86","PG-13","1988-04-29 00:00:00 UTC","4500000","3813293","94919","10127","Terrence Mann","Don Keith Opper","Cynthia Garris","Scott Grimes","1","1","1","2","Mick Garris","1","David Twohy","5","Mick Garris","1","New Line Cinema","93","English","Comedy","United States of America"
"4502","Ernest Saves Christmas (1988)","95","PG","1988-11-11 00:00:00 UTC","6000000","28202109","95107","26386","Jim Varney","Douglas Seale","Oliver Clark","Noelle Parker","2","1","2","1","John R. Cherry III","1","Ed Turner","1","B. Kline","1","Touchstone Pictures","72","English","Children","United States of America"
"4512","Hot to Trot (1988)","88","PG","1988-08-26 00:00:00 UTC","9000000","6436211","95326","30690","Bobcat Goldthwait","Dabney Coleman","John Candy","Virginia Madsen","1","3","7","2","Michael Dinner","1","Stephen Neigher","1","Hugo Gilbert","1","Warner Bros.","119","English","Comedy","United States of America"
"4518","Lair of the White Worm, The (1988)","93","R","1988-09-14 00:00:00 UTC","2500000","1189315","95488","11347","Amanda Donohoe","Hugh Grant","Catherine Oxenberg","Peter Capaldi","1","4","1","2","Ken Russell","2","Ken Russell","2","Bram Stoker","2","White Lair","1","English","Horror","United Kingdom"
"4519","Land Before Time, The (1988)","69","G","1988-11-17 00:00:00 UTC","12300000","84460846","95489","12144","Judith Barsi","Pat Hingle","Gabriel Damon","Helen Shaver","2","2","1","1","Don Bluth","8","Stu Krieger","2","Judy Freudberg","1","Universal Pictures","205","English","Adventure","United States of America"
"4526","My Stepmother Is an Alien (1988)","105","PG-13","1988-12-09 00:00:00 UTC","20000000","13854000","95687","12120","Dan Aykroyd","Kim Basinger","Jon Lovitz","Alyson Hannigan","12","4","2","5","Richard Benjamin","3","Jerico","1","Herschel Weingrod","3","Weintraub Entertainment Group","1","English","Comedy","United States of America"
"4533","Return of the Living Dead, The (1985)","91","R","1985-08-16 00:00:00 UTC","4000000","14237000","89907","10925","Clu Gulager","James Karen","Don Calfa","Thom Mathews","2","1","1","1","Dan O'Bannon","1","Rudy Ricci","1","John A. Russo","1","Hemdale Film Corporation","2","English","Comedy","United States of America"
"4548","Sunset (1988)","102","R","1988-04-29 00:00:00 UTC","16000000","4594452","96193","38560","Bruce Willis","James Garner","Malcolm McDowell","Mariel Hemingway","25","4","3","2","Blake Edwards","2","Rod Amateau","1","Blake Edwards","4","Cecchi Gori Group Tiger Cinematografica","2","English","Comedy","United States of America"
"4558","Twins (1988)","107","PG","1988-12-08 00:00:00 UTC","15000000","216600000","96320","9493","Arnold Schwarzenegger","Danny DeVito","Kelly Preston","Chloe Webb","22","9","5","2","Ivan Reitman","7","William Davies","2","William Osborne","1","Universal Pictures","205","English","Comedy","United States of America"
"4564","Always (1989)","122","PG","1989-12-22 00:00:00 UTC","31000000","74134790","96794","11352","Richard Dreyfuss","Holly Hunter","Brad Johnson","John Goodman","7","3","1","12","Steven Spielberg","21","Jerry Belson","1","Dalton Trumbo","3","Universal Pictures","205","English","Fantasy","United States of America"
"4571","Bill & Ted's Excellent Adventure (1989)","90","PG","1989-02-17 00:00:00 UTC","10000000","40485039","96928","1648","Keanu Reeves","Alex Winter","George Carlin","Terry Camilleri","13","1","1","1","Stephen Herek","5","Chris Matheson","1","Ed Solomon","4","Orion Pictures","12","English","Adventure","United States of America"
"4572","Black Rain (1989)","125","R","1989-09-22 00:00:00 UTC","30000000","45892212","96933","4105","Michael Douglas","Andy Garcia","Ken Takakura","Kate Capshaw","5","5","1","3","Ridley Scott","12","Craig Bolotin","1","Warren Lewis","1","Paramount Pictures","173","English","Drama","United States of America"
"4577","Casualties of War (1989)","113","R","1989-08-18 00:00:00 UTC","22500000","22500000","97027","10142","Michael J. Fox","Sean Penn","Don Harvey","John C. Reilly","9","12","2","10","Brian De Palma","7","Daniel Lang","1","David Rabe","2","Columbia Pictures Corporation","42","English","Drama","United States of America"
"4613","K-9 (1989)","101","PG-13","1989-04-28 00:00:00 UTC","18598420","78247647","97637","10345","James Belushi","Mel Harris","Kevin Tighe","Ed O'Neill","4","1","2","2","Rod Daniel","2","Steven Siegel","1","Scott Myers","1","Universal Pictures","205","English","Comedy","United States of America"
"4637","Red Scorpion (1989)","105","R","1989-01-05 00:00:00 UTC","16000000","4192440","98180","12663","Dolph Lundgren","M. Emmet Walsh","Al White","T.P. McKenna","6","2","1","1","Joseph Zito","1","Jack Abramoff","1","Robert Abramoff","1","abramoff Production","1","English","Action","United States of America"
"4638","Jurassic Park III (2001)","92","PG-13","2001-07-15 00:00:00 UTC","93000000","368780809","163025","331","Sam Neill","William H. Macy","Téa Leoni","Alessandro Nivola","7","6","5","3","Joe Johnston","6","Michael Crichton","7","Peter Buchman","2","Universal Studios","4","English","Adventure","United States of America"
"4643","Planet of the Apes (2001)","119","PG-13","2001-07-26 00:00:00 UTC","100000000","362211740","133152","869","Mark Wahlberg","Tim Roth","Helena Bonham Carter","Michael Clarke Duncan","16","7","10","4","Tim Burton","16","Pierre Boulle","5","William Broyles Jr.","3","20th Century Fox","51","English","Adventure","United States of America"
"4649","Wet Hot American Summer (2001)","97","R","2001-07-27 00:00:00 UTC","5000000","295206","243655","2171","Janeane Garofalo","David Hyde Pierce","Michael Showalter","Marguerite Moreau","2","2","1","1","David Wain","2","Michael Showalter","1","David Wain","1","Eureka Pictures","1","English","Comedy","United States of America"
"4654","Road House (1989)","114","R","1989-05-19 00:00:00 UTC","15000000","30050028","98206","10135","Patrick Swayze","Kelly Lynch","Sam Elliott","Ben Gazzara","4","1","3","2","Rowdy Herrington","1","David Lee Henry","2","David Lee Henry","2","United Artists","28","English","Drama","United States of America"
"4662","See No Evil, Hear No Evil (1989)","103","R","1989-05-12 00:00:00 UTC","18000000","46908987","98282","11185","Richard Pryor","Gene Wilder","Joan Severance","Kevin Spacey","3","4","1","12","Arthur Hiller","1","Earl Barret","1","Arne Sultan","1","TriStar Pictures","36","English","Comedy","United States of America"
"4690","Cotton Club, The (1984)","127","R","1984-12-14 00:00:00 UTC","58000000","25928721","87089","2148","Richard Gere","Gregory Hines","Diane Lane","Lonette McKee","8","3","6","2","Francis Ford Coppola","10","William Kennedy","1","Francis Ford Coppola","8","Orion Pictures","12","English","Crime","United States of America"
"4700","Princess Diaries, The (2001)","115","G","2001-08-03 00:00:00 UTC","37000000","165335153","247638","9880","Julie Andrews","Anne Hathaway","Hector Elizondo","Heather Matarazzo","5","10","3","1","Garry Marshall","5","Meg Cabot","3","Gina Wendkos","2","Walt Disney Pictures","84","English","Children","United States of America"
"4701","Rush Hour 2 (2001)","90","PG-13","2001-08-03 00:00:00 UTC","90000000","347325802","266915","5175","Jackie Chan","Chris Tucker","John Lone","Ziyi Zhang","10","3","3","3","Brett Ratner","10","Ross LaManna","3","Jeff Nathanson","3","New Line Cinema","93","English","Comedy","United States of America"
"4718","American Pie 2 (2001)","108","R","2001-08-06 00:00:00 UTC","30000000","287553595","252866","2770","Jason Biggs","Shannon Elizabeth","Alyson Hannigan","Chris Klein","4","1","5","2","J.B. Rogers","1","Adam Herz","3","David H. Steinberg","1","Universal Pictures","205","English","Comedy","United States of America"
